orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,Population de l'Aire de Santé
République Démocratique du Congo,kl Kwilu Province,kl Mukedi Zone de Santé,kl Kipita Aire de Santé,iI913jY2zIO,kl Kipita Aire de Santé,31350313,,2020,2020,2020,,8542
République Démocratique du Congo,kl Kwilu Province,kl Lusanga Zone de Santé,kl Kipuka Aire de Santé,BdYzjC5vWtf,kl Kipuka Aire de Santé,31310315,,2020,2020,2020,,9209
République Démocratique du Congo,kl Kwilu Province,kl Koshibanda Zone de Santé,kl Kipuku Aire de Santé,PHPann0wzMW,kl Kipuku Aire de Santé,31340413,,2020,2020,2020,,12841
République Démocratique du Congo,kl Kwilu Province,kl Pay Kongila Zone de Santé,kl Kipungu Aire de Santé,Pp07obj6DkG,kl Kipungu Aire de Santé,31320411,,2020,2020,2020,,6983
République Démocratique du Congo,kl Kwilu Province,kl Mosango Zone de Santé,kl Kipwanga Aire de Santé,AXtAktKz1US,kl Kipwanga Aire de Santé,31320307,,2020,2020,2020,,8068
République Démocratique du Congo,kl Kwilu Province,kl Moanza Zone de Santé,kl Kisala Aire de Santé,ARtHmFnXBlg,kl Kisala Aire de Santé,31320212,,2020,2020,2020,,8903
République Démocratique du Congo,kl Kwilu Province,kl Lusanga Zone de Santé,kl Kisala Kafumba Aire de Santé,MG9hqGaJUxk,kl Kisala Kafumba Aire de Santé,31310316,,2020,2020,2020,,5805
République Démocratique du Congo,kl Kwilu Province,kl Lusanga Zone de Santé,kl Kisala Mayoko Aire de Santé,mItD8UuPoC4,kl Kisala Mayoko Aire de Santé,31310317,,2020,2020,2020,,6289
République Démocratique du Congo,kl Kwilu Province,kl Pay Kongila Zone de Santé,kl Kisamba Aire de Santé,U4iiFWZxyYh,kl Kisamba Aire de Santé,31320412,,2020,2020,2020,,5972
République Démocratique du Congo,kl Kwilu Province,kl Kikongo Zone de Santé,kl Kisantete Aire de Santé,uPuIQyGKRqg,kl Kisantete Aire de Santé,,,2020,2020,2020,,6192
République Démocratique du Congo,kl Kwilu Province,kl Lusanga Zone de Santé,kl Kishiongo Aire de Santé,n70ekT0rwHR,kl Kishiongo Aire de Santé,31310318,,2020,2020,2020,,8302
République Démocratique du Congo,kl Kwilu Province,kl Kikongo Zone de Santé,kl Kisia Aire de Santé,IEjd6w91WFV,kl Kisia Aire de Santé,31330210,,2020,2020,2020,,9758
République Démocratique du Congo,kl Kwilu Province,kl Pay Kongila Zone de Santé,kl Kisumbu Aire de Santé,svL9h91S3W3,kl Kisumbu Aire de Santé,31320413,,2020,2020,2020,,15933
République Démocratique du Congo,kl Kwilu Province,kl Vanga Zone de Santé,kl Kitabi Aire de Santé,wlaunfQ0Szb,kl Kitabi Aire de Santé,31310415,,2020,2020,2020,,6150
République Démocratique du Congo,kl Kwilu Province,kl Mosango Zone de Santé,kl Kitambo Aire de Santé,WY8gICrcBgX,kl Kitambo Aire de Santé,31320308,,2020,2020,2020,,6735
République Démocratique du Congo,kl Kwilu Province,kl Mungindu Zone de Santé,kl Kitambwe 1 Aire de Santé,kZsrhRtVvuo,kl Kitambwe 1 Aire de Santé,31350411,,2020,2020,2020,,8091
République Démocratique du Congo,kl Kwilu Province,kl Yasa Bonga Zone de Santé,kl Kitoy Aire de Santé,otdahGYWPDg,kl Kitoy Aire de Santé,31320512,,2020,2020,2020,,14564
République Démocratique du Congo,kl Kwilu Province,kl Masi Manimba Zone de Santé,kl Kitsamanga Aire de Santé,oMTgNcUPN27,kl Kitsamanga Aire de Santé,31320110,,2020,2020,2020,,9320
République Démocratique du Congo,kl Kwilu Province,kl Moanza Zone de Santé,kl Kitubu Aire de Santé,vfRXQvMVPqO,kl Kitubu Aire de Santé,31320213,,2020,2020,2020,,11243
République Démocratique du Congo,kl Kwilu Province,kl Masi Manimba Zone de Santé,kl Kiwawa Aire de Santé,wycbAG6I8Pf,kl Kiwawa Aire de Santé,31320111,,2020,2020,2020,,12358
République Démocratique du Congo,kl Kwilu Province,kl Bulungu Zone de Santé,kl Kiwutu Aire de Santé,TEcjHnJqqZY,kl Kiwutu Aire de Santé,31310107,,2020,2020,2020,,12612
République Démocratique du Congo,kl Kwilu Province,kl Vanga Zone de Santé,kl Kiyaka Aire de Santé,DBmOIU6HgPg,kl Kiyaka Aire de Santé,,,2020,2020,2020,,9670
République Démocratique du Congo,kl Kwilu Province,kl Bulungu Zone de Santé,kl Kiyaka Aire de Santé,iA5BrNwXafv,kl Kiyaka Aire de Santé,31310108,,2020,2020,2020,,8153
République Démocratique du Congo,kl Kwilu Province,kl Vanga Zone de Santé,kl Kiyoko Aire de Santé,VFlZYAx1Hv3,kl Kiyoko Aire de Santé,31310417,,2020,2020,2020,,5028
République Démocratique du Congo,kl Kwilu Province,kl Masi Manimba Zone de Santé,kl Kizefo Aire de Santé,z10oT4pUmQy,kl Kizefo Aire de Santé,31320112,,2020,2020,2020,,7645
République Démocratique du Congo,kl Kwilu Province,kl Idiofa Zone de Santé,kl Kizito 1 Aire de Santé,ZnaEMXrYIU5,kl Kizito 1 Aire de Santé,31340123,,2020,2020,2020,,15503
République Démocratique du Congo,kl Kwilu Province,kl Idiofa Zone de Santé,kl Kizito 2 Aire de Santé,BAz4a0C0y46,kl Kizito 2 Aire de Santé,,,2020,2020,2020,,14664
République Démocratique du Congo,kl Kwilu Province,kl Kingandu Zone de Santé,kl Kizungu Nzadi Aire de Santé,Qqu0j2jwhVv,kl Kizungu Nzadi Aire de Santé,31350213,,2020,2020,2020,,4749
République Démocratique du Congo,kl Kwilu Province,kl Gungu Zone de Santé,kl Kobo Aire de Santé,GiGpMXnTwbD,kl Kobo Aire de Santé,31350118,,2020,2020,2020,,12620
République Démocratique du Congo,kl Kwilu Province,kl Pay Kongila Zone de Santé,kl Kola Aire de Santé,ee8EJY9coss,kl Kola Aire de Santé,31320414,,2020,2020,2020,,4685
République Démocratique du Congo,kl Kwilu Province,kl Mukedi Zone de Santé,kl Kondo Aire de Santé,b3rU4bRv1Pj,kl Kondo Aire de Santé,31350314,,2020,2020,2020,,6809
République Démocratique du Congo,kl Kwilu Province,kl Ipamu Zone de Santé,kl Koreama Aire de Santé,f8w8U6cobsv,kl Koreama Aire de Santé,31340212,,2020,2020,2020,,7989
République Démocratique du Congo,kl Kwilu Province,kl Koshibanda Zone de Santé,kl Koshibanda Aire de Santé,JMlW0YYuUKN,kl Koshibanda Aire de Santé,31340414,,2020,2020,2020,,19232
République Démocratique du Congo,kl Kwilu Province,kl Kingandu Zone de Santé,kl Kulu Aire de Santé,u4L82X6WekT,kl Kulu Aire de Santé,,,2020,2020,2020,,4949
République Démocratique du Congo,kl Kwilu Province,kl Kingandu Zone de Santé,kl Kulungu Nzadi Aire de Santé,fJG9P6QeZqc,kl Kulungu Nzadi Aire de Santé,31350214,,2020,2020,2020,,7791
République Démocratique du Congo,kl Kwilu Province,kl Pay Kongila Zone de Santé,kl Kulungusiki Aire de Santé,GxI0hfIM7S5,kl Kulungusiki Aire de Santé,31320415,,2020,2020,2020,,5848
République Démocratique du Congo,kl Kwilu Province,kl Mosango Zone de Santé,kl Kumbi Aire de Santé,mWJsQoiemDx,kl Kumbi Aire de Santé,31320309,,2020,2020,2020,,9675
République Démocratique du Congo,kl Kwilu Province,kl Mosango Zone de Santé,kl Kumbi makopa Aire de Santé,WGUkMWJohm5,kl Kumbi makopa Aire de Santé,,,2020,2020,2020,,6200
République Démocratique du Congo,kl Kwilu Province,kl Lusanga Zone de Santé,kl Kwanga Aire de Santé,lSL4ogeXWR4,kl Kwanga Aire de Santé,31310319,,2020,2020,2020,,17612
République Démocratique du Congo,kl Kwilu Province,kl Moanza Zone de Santé,kl Kwati Yoko Aire de Santé,yHNAqqkx3m8,kl Kwati Yoko Aire de Santé,,,2020,2020,2020,,5880
République Démocratique du Congo,kl Kwilu Province,kl Yasa Bonga Zone de Santé,kl Kwaya Aire de Santé,VCviDjkHQF9,kl Kwaya Aire de Santé,31320513,,2020,2020,2020,,12474
République Démocratique du Congo,kl Kwilu Province,kl Lusanga Zone de Santé,kl Kwenge Kimafu 2 Aire de Santé,BJ6Hs4kuoBr,kl Kwenge Kimafu 2 Aire de Santé,,,2020,2020,2020,,12829
République Démocratique du Congo,kl Kwilu Province,kl Lusanga Zone de Santé,kl Kwenge Kimafu Aire de Santé,xKxqjmoi8UK,kl Kwenge Kimafu Aire de Santé,31310320,,2020,2020,2020,,12934
République Démocratique du Congo,kl Kwilu Province,kl Lusanga Zone de Santé,kl Kwenge PLC Aire de Santé,T6zm8BGl2NS,kl Kwenge PLC Aire de Santé,31310321,,2020,2020,2020,,19171
République Démocratique du Congo,kl Kwilu Province,kl Gungu Zone de Santé,kl Kwilu Aire de Santé,o3GC9F9G2WY,kl Kwilu Aire de Santé,31350119,,2020,2020,2020,,12381
République Démocratique du Congo,kl Kwilu Province,kl Ipamu Zone de Santé,kl Laba Central Aire de Santé,lcNaN76nB6G,kl Laba Central Aire de Santé,31340213,,2020,2020,2020,,8665
République Démocratique du Congo,kl Kwilu Province,kl Ipamu Zone de Santé,kl Laba Impini Aire de Santé,XJO2etUnrbz,kl Laba Impini Aire de Santé,31340214,,2020,2020,2020,,8966
République Démocratique du Congo,kl Kwilu Province,kl Kimputu Zone de Santé,kl Lad Zum Aire de Santé,C0cAYocu7NO,kl Lad Zum Aire de Santé,31340314,,2020,2020,2020,,5645
République Démocratique du Congo,kl Kwilu Province,kl Ipamu Zone de Santé,kl Lakas Aire de Santé,oiXVRKeqYB1,kl Lakas Aire de Santé,31340215,,2020,2020,2020,,9698
République Démocratique du Congo,kl Kwilu Province,kl Djuma Zone de Santé,kl Lareme Aire de Santé,vjKOqvJg7Gi,kl Lareme Aire de Santé,31310211,,2020,2020,2020,,12521
République Démocratique du Congo,kl Kwilu Province,kl Bandundu Zone de Santé,kl Lisala Aire de Santé,N8ZeQA5QDXz,kl Lisala Aire de Santé,31110110,,2020,2020,2020,,12899
République Démocratique du Congo,kl Kwilu Province,kl Mokala Zone de Santé,kl Longwama Aire de Santé,cV98rYEobLP,kl Longwama Aire de Santé,31340509,,2020,2020,2020,,8660
République Démocratique du Congo,kl Kwilu Province,kl Lusanga Zone de Santé,kl Louis Palazzolo Aire de Santé,GlroAdba8gU,kl Louis Palazzolo Aire de Santé,31310322,,2020,2020,2020,,14859
République Démocratique du Congo,kl Kwilu Province,kl Mukedi Zone de Santé,kl Lozo Kakese Aire de Santé,Ri63IxQaLwU,kl Lozo Kakese Aire de Santé,31350315,,2020,2020,2020,,6165
République Démocratique du Congo,kl Kwilu Province,kl Mukedi Zone de Santé,kl Lozo Munene Aire de Santé,fMsQPfeYZMw,kl Lozo Munene Aire de Santé,31350316,,2020,2020,2020,,7985
République Démocratique du Congo,kl Kwilu Province,kl Djuma Zone de Santé,kl Lubidi Aire de Santé,CfK9RQdNVoa,kl Lubidi Aire de Santé,31310212,,2020,2020,2020,,8442
République Démocratique du Congo,kl Kwilu Province,kl Bulungu Zone de Santé,kl Lubunji Aire de Santé,RbcYKY1cy1F,kl Lubunji Aire de Santé,31310109,,2020,2020,2020,,9226
République Démocratique du Congo,kl Kwilu Province,kl Koshibanda Zone de Santé,kl Luende Aire de Santé,bB6mV1InP6c,kl Luende Aire de Santé,31340415,,2020,2020,2020,,7469
République Démocratique du Congo,kl Kwilu Province,kl Mukedi Zone de Santé,kl Luhelo Aire de Santé,dOonPl1SkFs,kl Luhelo Aire de Santé,31350317,,2020,2020,2020,,6483
République Démocratique du Congo,kl Kwilu Province,kl Koshibanda Zone de Santé,kl Luka Aire de Santé,awxhhG907kB,kl Luka Aire de Santé,31340416,,2020,2020,2020,,12712
République Démocratique du Congo,kl Kwilu Province,kl Vanga Zone de Santé,kl Lukala Aire de Santé,MrjzF34V1Ef,kl Lukala Aire de Santé,31310418,,2020,2020,2020,,6336
République Démocratique du Congo,kl Kwilu Province,kl Mungindu Zone de Santé,kl Lukamba Aire de Santé,KS1xjESeLwa,kl Lukamba Aire de Santé,31350412,,2020,2020,2020,,5691
République Démocratique du Congo,kl Kwilu Province,kl Sia Zone de Santé,kl Lukinga Aire de Santé,iCeOMkftejX,kl Lukinga Aire de Santé,31330307,,2020,2020,2020,,4769
République Démocratique du Congo,kl Kwilu Province,kl Kikwit Nord Zone de Santé,kl Lukolela Aire de Santé,LXP08w9WGJy,kl Lukolela Aire de Santé,31410105,,2020,2020,2020,,13555
République Démocratique du Congo,kl Kwilu Province,kl Bagata Zone de Santé,kl Lukuey Aire de Santé,kSF0OWfU2mj,kl Lukuey Aire de Santé,31330108,,2020,2020,2020,,5714
République Démocratique du Congo,kl Kwilu Province,kl Masi Manimba Zone de Santé,kl Lukula Aire de Santé,DNKE1kzdO57,kl Lukula Aire de Santé,31320113,,2020,2020,2020,,16004
République Démocratique du Congo,kl Kwilu Province,kl Gungu Zone de Santé,kl Lukunga Aire de Santé,Otw7clPJ1gX,kl Lukunga Aire de Santé,31350120,,2020,2020,2020,,10249
République Démocratique du Congo,kl Kwilu Province,kl Yasa Bonga Zone de Santé,kl Lulau Aire de Santé,TXdERyJZrdB,kl Lulau Aire de Santé,31320514,,2020,2020,2020,,10166
République Démocratique du Congo,kl Kwilu Province,kl Masi Manimba Zone de Santé,kl Lumbi Aire de Santé,VLMLiPqLjJZ,kl Lumbi Aire de Santé,31320114,,2020,2020,2020,,12683
République Démocratique du Congo,kl Kwilu Province,kl Bandundu Zone de Santé,kl Lumbu Aire de Santé,RDxlSnUAYqN,kl Lumbu Aire de Santé,31110111,,2020,2020,2020,,3979
République Démocratique du Congo,kl Kwilu Province,kl Masi Manimba Zone de Santé,kl Lunga Aire de Santé,VGNmkk4DiAp,kl Lunga Aire de Santé,31320115,,2020,2020,2020,,13047
République Démocratique du Congo,kl Kwilu Province,kl Djuma Zone de Santé,kl Lungama Aire de Santé,SKupplYSIYE,kl Lungama Aire de Santé,31310213,,2020,2020,2020,,6852
République Démocratique du Congo,kl Kwilu Province,kl Kikwit Nord Zone de Santé,kl Lunia Aire de Santé,TKs7JGmXxEk,kl Lunia Aire de Santé,31410106,,2020,2020,2020,,14739
République Démocratique du Congo,kl Kwilu Province,kl Vanga Zone de Santé,kl Luniungu Aire de Santé,KUVqlW5bUuC,kl Luniungu Aire de Santé,31310419,,2020,2020,2020,,9718
République Démocratique du Congo,kl Kwilu Province,kl Kikongo Zone de Santé,kl Lunkuni Aire de Santé,MuREK5x7tRC,kl Lunkuni Aire de Santé,31330211,,2020,2020,2020,,10380
République Démocratique du Congo,kl Kwilu Province,kl Mungindu Zone de Santé,kl Lusenvu Aire de Santé,gr6g2IOMB83,kl Lusenvu Aire de Santé,,,2020,2020,2020,,4817
République Démocratique du Congo,kl Kwilu Province,kl Idiofa Zone de Santé,kl Luvuji Aire de Santé,jaWsdOu2rpD,kl Luvuji Aire de Santé,31340124,,2020,2020,2020,,5001
République Démocratique du Congo,kl Kwilu Province,kl Yasa Bonga Zone de Santé,kl Luwanga Aire de Santé,rJz403wlM5s,kl Luwanga Aire de Santé,31320515,,2020,2020,2020,,8235
République Démocratique du Congo,kl Kwilu Province,kl Kikwit Nord Zone de Santé,kl Luzolo Aire de Santé,B7s4Ik3rxpv,kl Luzolo Aire de Santé,31410107,,2020,2020,2020,,16821
République Démocratique du Congo,kl Kwilu Province,kl Djuma Zone de Santé,kl Luzubi Aire de Santé,sjmGGBMYKUy,kl Luzubi Aire de Santé,31310214,,2020,2020,2020,,12929
République Démocratique du Congo,kl Kwilu Province,kl Idiofa Zone de Santé,kl Lwanga Aire de Santé,miUhFBKm3R1,kl Lwanga Aire de Santé,31340125,,2020,2020,2020,,20195
République Démocratique du Congo,kl Kwilu Province,kl Bandundu Zone de Santé,kl Lwani Aire de Santé,zzCn5QEgw4p,kl Lwani Aire de Santé,31110112,,2020,2020,2020,,20018
République Démocratique du Congo,kl Kwilu Province,kl Bandundu Zone de Santé,kl Lwani Nouvelle cité Aire de Santé,rTZjeO7DUT1,kl Lwani Nouvelle cité Aire de Santé,,,2020,2020,2020,,13009
République Démocratique du Congo,kl Kwilu Province,kl Djuma Zone de Santé,kl Lwano Aire de Santé,P62jLVEDUom,kl Lwano Aire de Santé,31310215,,2020,2020,2020,,6560
République Démocratique du Congo,kl Kwilu Province,kl Kimputu Zone de Santé,kl Lwele Aire de Santé,WpNMWNId6Kj,kl Lwele Aire de Santé,31340315,,2020,2020,2020,,11028
République Démocratique du Congo,kl Kwilu Province,kl Kimputu Zone de Santé,kl Lwem Aire de Santé,WmCSBHmSBjJ,kl Lwem Aire de Santé,31340316,,2020,2020,2020,,12034
République Démocratique du Congo,kl Kwilu Province,kl Sia Zone de Santé,kl Mabenga Aire de Santé,BDLeRoLBoBV,kl Mabenga Aire de Santé,31330308,,2020,2020,2020,,9214
République Démocratique du Congo,kl Kwilu Province,kl Koshibanda Zone de Santé,kl Madimbi Aire de Santé,jBQCCQteTRx,kl Madimbi Aire de Santé,31340417,,2020,2020,2020,,18041
République Démocratique du Congo,kl Kwilu Province,kl Mokala Zone de Santé,kl Makanga Aire de Santé,XBnSnBXfWYk,kl Makanga Aire de Santé,31340510,,2020,2020,2020,,3677
République Démocratique du Congo,kl Kwilu Province,kl Kikongo Zone de Santé,kl Makangay  Aire de Santé,yNad2sXztYZ,kl Makangay  Aire de Santé,,,2020,2020,2020,,6222
République Démocratique du Congo,kl Kwilu Province,kl Kimputu Zone de Santé,kl Makubi Aire de Santé,CnZAW9LkSGb,kl Makubi Aire de Santé,31340317,,2020,2020,2020,,7321
République Démocratique du Congo,kl Kwilu Province,kl Lusanga Zone de Santé,kl Makungika Aire de Santé,t3IjMphnt5H,kl Makungika Aire de Santé,31310323,,2020,2020,2020,,6451
République Démocratique du Congo,kl Kwilu Province,kl Moanza Zone de Santé,kl Mala Aire de Santé,cIzHnEBTsGJ,kl Mala Aire de Santé,31320214,,2020,2020,2020,,6663
République Démocratique du Congo,kl Kwilu Province,kl Bandundu Zone de Santé,kl Malebo Aire de Santé,buRnCgoqUKR,kl Malebo Aire de Santé,31110113,,2020,2020,2020,,13998
République Démocratique du Congo,kl Kwilu Province,kl Bulungu Zone de Santé,kl Malunga Aire de Santé,esDtAlxsL4w,kl Malunga Aire de Santé,31310110,,2020,2020,2020,,8966
République Démocratique du Congo,kl Kwilu Province,kl Mungindu Zone de Santé,kl Malunga Aire de Santé,yl5m0LR5by3,kl Malunga Aire de Santé,,,2020,2020,2020,,4383
République Démocratique du Congo,kl Kwilu Province,kl Mungindu Zone de Santé,kl Mampungu Aire de Santé,csNE8FlJGLp,kl Mampungu Aire de Santé,,,2020,2020,2020,,4498
République Démocratique du Congo,kl Kwilu Province,kl Idiofa Zone de Santé,kl Manding 2 Aire de Santé,LxxQHSqf7Kj,kl Manding 2 Aire de Santé,,,2020,2020,2020,,13500
République Démocratique du Congo,kl Kwilu Province,kl Idiofa Zone de Santé,kl Manding Aire de Santé,KP6YG677KQL,kl Manding Aire de Santé,31340126,,2020,2020,2020,,16470
République Démocratique du Congo,kl Kwilu Province,kl Yasa Bonga Zone de Santé,kl Mandondo Aire de Santé,fBmVMnDFPBM,kl Mandondo Aire de Santé,31320516,,2020,2020,2020,,11233
République Démocratique du Congo,kl Kwilu Province,kl Ipamu Zone de Santé,kl Mangai 2 Aire de Santé,exVL1kfj6Rp,kl Mangai 2 Aire de Santé,31340216,,2020,2020,2020,,6649
République Démocratique du Congo,kl Kwilu Province,kl Ipamu Zone de Santé,kl Mangai Etat Aire de Santé,rfTpjddKh37,kl Mangai Etat Aire de Santé,31340217,,2020,2020,2020,,13041
République Démocratique du Congo,kl Kwilu Province,kl Ipamu Zone de Santé,kl Mangai Kimbanguiste Aire de Santé,bb19iW7z7E3,kl Mangai Kimbanguiste Aire de Santé,31340218,,2020,2020,2020,,16341
République Démocratique du Congo,kl Kwilu Province,kl Ipamu Zone de Santé,kl Mangai Nsele Aire de Santé,xhlNxc07jhQ,kl Mangai Nsele Aire de Santé,,,2020,2020,2020,,9471
République Démocratique du Congo,kl Kwilu Province,kl Ipamu Zone de Santé,kl Mangai Paroisse Aire de Santé,Moa5ouq0fZO,kl Mangai Paroisse Aire de Santé,31340219,,2020,2020,2020,,11809
République Démocratique du Congo,kl Kwilu Province,kl Ipamu Zone de Santé,kl Mangai Sainte Famille Aire de Santé,KTpHqMgVltU,kl Mangai Sainte Famille Aire de Santé,31340220,,2020,2020,2020,,5551
République Démocratique du Congo,kl Kwilu Province,kl Koshibanda Zone de Santé,kl Mangala Ngongo Aire de Santé,CXmHujDTfvw,kl Mangala Ngongo Aire de Santé,31340418,,2020,2020,2020,,9351
République Démocratique du Congo,kl Kwilu Province,kl Moanza Zone de Santé,kl Mangulu Kanza Aire de Santé,M6haZyOzzBL,kl Mangulu Kanza Aire de Santé,31320215,,2020,2020,2020,,11043
République Démocratique du Congo,kl Kwilu Province,kl Mosango Zone de Santé,kl Mangungu Aire de Santé,GJw8WoF4UUn,kl Mangungu Aire de Santé,31320310,,2020,2020,2020,,9009
République Démocratique du Congo,kl Kwilu Province,kl Moanza Zone de Santé,kl Maniama Aire de Santé,u4oazZAnxP0,kl Maniama Aire de Santé,31320216,,2020,2020,2020,,5696
République Démocratique du Congo,kl Kwilu Province,kl Bagata Zone de Santé,kl Mantiene Aire de Santé,DuscYadGGEJ,kl Mantiene Aire de Santé,31330109,,2020,2020,2020,,9167
République Démocratique du Congo,kl Kwilu Province,kl Bagata Zone de Santé,kl Manzasay Aire de Santé,bqeKNxtqhj5,kl Manzasay Aire de Santé,31330110,,2020,2020,2020,,10897
République Démocratique du Congo,kl Kwilu Province,kl Idiofa Zone de Santé,kl Mapela Aire de Santé,miTfBjfYqM2,kl Mapela Aire de Santé,31340127,,2020,2020,2020,,10417
République Démocratique du Congo,kl Kwilu Province,kl Kikwit Nord Zone de Santé,kl Marché Kikwit 3 Aire de Santé,OIwaRq80Ysm,kl Marché Kikwit 3 Aire de Santé,31410108,,2020,2020,2020,,11432
République Démocratique du Congo,kl Kwilu Province,kl Kikwit Nord Zone de Santé,kl Masamba 1 Aire de Santé,i9xUXD34KoT,kl Masamba 1 Aire de Santé,31410109,,2020,2020,2020,,16927
République Démocratique du Congo,kl Kwilu Province,kl Kikwit Nord Zone de Santé,kl Masamba 2 Aire de Santé,y4DKTBOTS3M,kl Masamba 2 Aire de Santé,31410110,,2020,2020,2020,,12440
République Démocratique du Congo,kl Kwilu Province,kl Masi Manimba Zone de Santé,kl Masamuna 2 Aire de Santé,RvARxRL9LTZ,kl Masamuna 2 Aire de Santé,,,2020,2020,2020,,15580
République Démocratique du Congo,kl Kwilu Province,kl Masi Manimba Zone de Santé,kl Masamuna Aire de Santé,nRvbtmPAWpW,kl Masamuna Aire de Santé,31320116,,2020,2020,2020,,18401
République Démocratique du Congo,kl Kwilu Province,kl Gungu Zone de Santé,kl Maseba Aire de Santé,d9YUP8HMbfz,kl Maseba Aire de Santé,31350121,,2020,2020,2020,,7081
République Démocratique du Congo,kl Kwilu Province,kl Yasa Bonga Zone de Santé,kl Matamba  Aire de Santé,TS3c2r7b68b,kl Matamba  Aire de Santé,,,2020,2020,2020,,11741
République Démocratique du Congo,kl Kwilu Province,kl Bandundu Zone de Santé,kl Matamba Aire de Santé,Fwf6GSPR793,kl Matamba Aire de Santé,31110114,,2020,2020,2020,,11964
République Démocratique du Congo,kl Kwilu Province,kl Mokala Zone de Santé,kl Mateko Etat Aire de Santé,whozWcZNbIE,kl Mateko Etat Aire de Santé,31340511,,2020,2020,2020,,5293
République Démocratique du Congo,kl Kwilu Province,kl Mokala Zone de Santé,kl Mateko Kivuvu Aire de Santé,S7Z66iAzv4b,kl Mateko Kivuvu Aire de Santé,31340512,,2020,2020,2020,,6298
République Démocratique du Congo,kl Kwilu Province,kl Kikongo Zone de Santé,kl Matele Aire de Santé,OaqCJ9ZqAXf,kl Matele Aire de Santé,31330212,,2020,2020,2020,,7591
République Démocratique du Congo,kl Kwilu Province,kl Kikwit Nord Zone de Santé,kl Maternité Plateau Aire de Santé,Lje8nhgwnCa,kl Maternité Plateau Aire de Santé,31410111,,2020,2020,2020,,13495
République Démocratique du Congo,kl Kwilu Province,kl Mukedi Zone de Santé,kl Matondo Aire de Santé,dkwlfzmfOYh,kl Matondo Aire de Santé,31350318,,2020,2020,2020,,5472
République Démocratique du Congo,kl Kwilu Province,kl Mukedi Zone de Santé,kl Matshi Aire de Santé,abTm0e9KtFg,kl Matshi Aire de Santé,31350319,,2020,2020,2020,,8681
République Démocratique du Congo,kl Kwilu Province,kl Bulungu Zone de Santé,kl Mayala Aire de Santé,c0VHja7C5ll,kl Mayala Aire de Santé,31310111,,2020,2020,2020,,15301
République Démocratique du Congo,kl Kwilu Province,kl Idiofa Zone de Santé,kl Mayanda Aire de Santé,vn15CezRZCn,kl Mayanda Aire de Santé,31340128,,2020,2020,2020,,7834
République Démocratique du Congo,kl Kwilu Province,kl Djuma Zone de Santé,kl Mayoko Aire de Santé,nkil64mxsUw,kl Mayoko Aire de Santé,31310216,,2020,2020,2020,,6930
République Démocratique du Congo,kl Kwilu Province,kl Vanga Zone de Santé,kl Mayoko Musangu Aire de Santé,ydP68Q1bc4x,kl Mayoko Musangu Aire de Santé,31310420,,2020,2020,2020,,9993
République Démocratique du Congo,kl Kwilu Province,kl Bulungu Zone de Santé,kl Mayoko Niadi Aire de Santé,WXnJX870GvP,kl Mayoko Niadi Aire de Santé,31310112,,2020,2020,2020,,9490
République Démocratique du Congo,kl Kwilu Province,kl Masi Manimba Zone de Santé,kl Mayoyo Aire de Santé,H0B6ecdObmO,kl Mayoyo Aire de Santé,31320117,,2020,2020,2020,,11354
République Démocratique du Congo,kl Kwilu Province,kl Kimputu Zone de Santé,kl Mayungu Aire de Santé,FKBeuQgtt0F,kl Mayungu Aire de Santé,31340318,,2020,2020,2020,,6431
République Démocratique du Congo,kl Kwilu Province,kl Sia Zone de Santé,kl Mbaka Kasai Aire de Santé,InueEtUxyuK,kl Mbaka Kasai Aire de Santé,31330309,,2020,2020,2020,,2665
République Démocratique du Congo,kl Kwilu Province,kl Sia Zone de Santé,kl Mbala Aire de Santé,dwpaxRS36eD,kl Mbala Aire de Santé,,,2020,2020,2020,,3330
République Démocratique du Congo,kl Kwilu Province,kl Djuma Zone de Santé,kl Mbala Aire de Santé,iHj6eumgMvG,kl Mbala Aire de Santé,31310217,,2020,2020,2020,,6724
République Démocratique du Congo,kl Kwilu Province,kl Mokala Zone de Santé,kl Mbala Badinga Aire de Santé,F3A3QnFIEQN,kl Mbala Badinga Aire de Santé,31340513,,2020,2020,2020,,8689
République Démocratique du Congo,kl Kwilu Province,kl Sia Zone de Santé,kl Mbalibi Aire de Santé,NBAvj9dO6o4,kl Mbalibi Aire de Santé,31330311,,2020,2020,2020,,4582
République Démocratique du Congo,kl Kwilu Province,kl Vanga Zone de Santé,kl Mbamba Aire de Santé,H5H1Z0wLnPQ,kl Mbamba Aire de Santé,,,2020,2020,2020,,9091
République Démocratique du Congo,kl Kwilu Province,kl Pay Kongila Zone de Santé,kl Mbamba Aire de Santé,QJYaWmFf13I,kl Mbamba Aire de Santé,31320416,,2020,2020,2020,,8150
République Démocratique du Congo,kl Kwilu Province,kl Idiofa Zone de Santé,kl Mbangi Aire de Santé,dMWRyPPsBNo,kl Mbangi Aire de Santé,,,2020,2020,2020,,5688
République Démocratique du Congo,kl Kwilu Province,kl Gungu Zone de Santé,kl Mbangi Aire de Santé,VaxxQ2t3wzq,kl Mbangi Aire de Santé,31350122,,2020,2020,2020,,6427
